type, orderno, description, value, qty
PRD, 4067, "Peter Stuyvesant 100's Blue 20s", 19.55, 7
PRD, 21074, "5010893160793 HERITAGE SMOOTH PEANUT BUTTER 6x227G", 4.16, 6
PRD, 5958, "Glenryck Mackerel Fillets in Vegetable Oil 125g", 16.69, 3
PRD, 5011, "Braun Cts2 Gas Refill", 14.22, 4
PRD, 9164, "Tesco New World Salad 125g", 8.88, 4
PRD, 8784, "Imperial Leather Reviving Bath Moments 500ml", 7.22, 6
PRD, 25658, "28oz Blue Sky Glass Cleaner Spray", 4.67, 5
PRD, 24046, "Unknown Wilko Order367", 14.39, 8
CR, 24046, 209.26
PRD, 1697, "Glenmorangie Miniature and Glass Tumbler", 14.87, 9
PRD, 9663, "Tilda Rizazz Chinese Mushroom Basmati Rice 250g", 15.76, 7
PRD, 11722, "Princes Reduced Salt Corned Beef 340g", 21.44, 9
PRD, 12904, "Santa Marta Alentejano 2004 75cl", 12.31, 8
PRD, 3130, "Sainsbury's Roast Chicken Meal 285g", 21.06, 8
PRD, 6964, "Pre-Sliced Honey Roast Ham", 20.34, 5
PRD, 6727, "Kettle Chips Mature Brie and Cranberry 150g", 17.80, 2
PRD, 20018, "Sainsbury's Chocolate & Orange Pudding 340g", 11.83, 7
PRD, 26959, "5000193546168 Schweppes Indian Tonic With Lemon 1l", 1.58, 1
PRD, 4789, "Jettec Jetset Black Refill Kit", 9.17, 5
PRD, 13458, "Right Guard 24HR Time Released Protection Unscented Anti-Perspirant De", 9.98, 2
PRD, 20013, "Sainsbury's Tapas Albondigas de Carne en Salsa 400g", 13.31, 8
PRD, 13086, "Tesco Finest Stem Ginger Cookies 200g", 10.98, 1
PRD, 78733, "5050854953583 Asda Chocolate Shade 30cm", 9.63, 3
PRD, 10761, "Green & Black's Organic Dark Chocolate with Orange & Spices Egg 110g", 5.26, 7
CR, 7309, 169.00
PRD, 11390, "Sainsbury's Taste the Difference Belgian Milk Chocolate 100g", 17.51, 8
PRD, 12234, "Johnson's Baby Skincaring Essentials", 25.29, 6
PRD, 24046, "Unknown Wilko Order206", 4.50, 9
PRD, 13036, "Unknown - JS New products & hosting", 8.02, 8
PRD, 10237, "Tesco Finest Honeycure Gammon Joint 1.5kg", 24.77, 8
PRD, 10674, "Adidas Dynamic Pulse Anti-Perspirant Deodorant 200ml", 2.47, 1
PRD, 9641, "Madagascar Fruit Flavoured Madagascar Jellies 150g", 18.49, 3
PRD, 2272, "Sainsbury's Be Good To Yourself Tuna Nicoise 300g", 2.25, 2
PRD, 8337, "Fairy Naturals Classic Antibac with Eucalyptus Extracts 500ml", 18.92, 7
PRD, 5658, "6 x 330ml Cans Heineken Beer", 25.57, 3
PRD, 2222, "Winalot Megabone 2 x Small", 22.54, 6
PRD, 3221, "Finish Orange 3in1 Power Ball 336g", 1.27, 4
PRD, 23756, "testProduct52", 23.11, 6
PRD, 1143, "Finish PoweBall 44 Tablets 823g", 15.36, 5
PRD, 10040, "Get Real Two Organic Ambledown Pies 2 x 235g", 19.85, 9
PRD, 7000, "Cakeboards Luxury Cake Decorations", 11.85, 7
PRD, 10490, "Bernard Matthews Grade A Free Range Turkey Serves 8-10", 21.21, 4
PRD, 8042, "NiQuitin CQ 4mg Lozenge Nicotine 36 Lozenges", 16.56, 2
PRD, 4105, "Black By Design Hair Repair Creme Conditioner 250ml", 19.16, 4
PRD, 43015, "Basics Apples 800g", 2.18, 5
PRD, 12562, "Tesco Mini Classics Bolognese Bake 300g", 23.52, 1
PRD, 6875, "WeightWatchers Refreshing Rose 75cl", 7.59, 8
PRD, 67985, "Sample Collection Fee", 18.21, 3
PRD, 4814, "Sainsbury's Household Gloves Tough Blue Large", 8.08, 7
PRD, 4162, "Lion Fruit Salad 215g", 25.32, 3
PRD, 8729, "Sainsbury's Fresh Soured Cream 142ml", 15.29, 4
PRD, 20121, "Tesco Luxury Soft Green 4pk", 8.09, 3
PRD, 23756, "testProduct135", 14.52, 1
PRD, 10168, "Palmolive Naturals Milk & Honey Shower Milk 300ml", 4.69, 4
PRD, 4205, "Sainsbury's Occasions 24 Piece Dim Sum Selection 290g", 21.64, 5
PRD, 8264, "Pataks Tikka Curry Paste Tamarind & Paprika 300g", 24.90, 5
PRD, 7045, "Cussons Imperial Leather Silk 150g", 19.55, 3
PRD, 13216, "Sainsbury's Large Egg Custard Tart", 17.97, 2
PRD, 55441, "05627509 Superdrug Anti Perspirant Deodorant Sensitive 50ml", 9.77, 7
PRD, 3319, "Wyke Farms Somerset Superfine Vintage Cheddar (counter)", 20.17, 1
PRD, 10547, "Baxters Healthy Helpings Spicy Lentil & Vegetable 415g", 15.17, 3
PRD, 11119, "Sainsbury's Basics Vanilla Ice Cream 2 Litre", 13.23, 2
PRD, 10677, "Sainsbury's Be Good To Yourself Raspberry & Chocolate Trifles 375g", 16.07, 9
PRD, 9583, "Sainsbury's All Butter Highland Shortbread Petticoat Tails 150g", 2.84, 6
PRD, 62991, "0000000532778 Sainsbury's Fruit Flavoured Antacid Tablets 48 Tablets", 10.11, 2
PRD, 20106, "Tesco Cranberry Sauce 315g", 10.27, 8
PRD, 5100, "Amoy Stir-Fry Vegetables Chinese Style 400g", 14.76, 2
PRD, 72067, "885909366385 Apple iPod Nano 16GB Silver", 17.14, 4
PRD, 1304, "Sainsbury's Blue Parrot Cafe Chicken & Cheese Mini Pizza 180g", 15.81, 7
PRD, 6063, "Sainsbury's Taste the Difference 2 Parmesan Strombini", 20.33, 5
PRD, 2417, "Cow & Gate Golden Apple & Blueberry Cereal 125g", 5.96, 6
PRD, 81092, "Relisting delisted products - 5023284001223 GLENNANS PARSNIP&BLACK PEPPER CRISPS", 24.41, 8
PRD, 11160, "Tommee Tippee Busy Bs Teether", 25.14, 2
PRD, 11399, "Sainsbury's Basic Ground Black Pepper 45 gram", 25.05, 5
PRD, 26025, "0249300000000 2 Spare Rib Chops", 4.17, 1
PRD, 6067, "ProViva Shot! Raspberry/Blackcurrant/Grape 80ml", 5.08, 2
PRD, 11050, "Pearce Duffs Strawberry Blancmange 105g", 20.69, 5
PRD, 27730, "5051277546024 Tesco Go Create Chunky Zip Pencil Case", 1.58, 4
PRD, 7437, "Tesco Spring Petals Room Fragrance Gel", 8.17, 9
PRD, 2849, "Sainsbury's Chunky Beef Chilli Soup 400g", 22.18, 5
PRD, 12619, "Unknown - Brandbank Data capture Image capture", 14.39, 2
PRD, 11563, "Sierra Blanca Cabernet Sauvignon Merlot 2005 75cl", 4.75, 3
PRD, 48889, "Unrecognised: Picking Fee", 25.71, 9
PRD, 20105, "Sainsbury's Extra Gentle Cream Bath 400ml", 7.26, 6
PRD, 69337, "5050083393945 Kellogg's Special K 30g", 14.42, 1
CR, 12056, 3.06
PRD, 9278, "Tesco Carbery Mature Cheddar 250g", 7.83, 1
PRD, 8541, "Sainsbury's Garllic & Herb Dip 300g", 24.21, 2
PRD, 11079, "Tim Tam Chewy Caramel 9 Biscuits", 8.25, 4
PRD, 3670, "Sainsbury's Revive 50 Gummed Recycled Envelopes", 15.65, 4
PRD, 7298, "Crocodile Rock Semillon Sauvignon Blanc 75cl", 16.40, 7
PRD, 9369, "Tesco Healthy Living 6 Date & Walnut Cake Slices", 24.48, 9
PRD, 10880, "Lindt Lindor Mini Eggs Bag 100g", 22.37, 7
PRD, 6366, "Sainsbury's Meal for Four 2.57kg", 17.60, 4
PRD, 20095, "Tesco Welsh Cheddar Medium White Medium", 8.43, 8
PRD, 5711, "Stamp Collection 2 Panini Rolls Organic & Wheat Free", 25.92, 2
PRD, 10286, "Sainsbury's Stain Remover Poweder With Active Oxygen 500g", 5.13, 3
PRD, 12854, "Sarah Smith Splash of Colour Collection 4 Ultra Absorbent Kitchen Clot", 14.14, 5
PRD, 13328, "Unknown - Tesco OL Image Only", 22.36, 9
PRD, 2272, "Sainsbury's Be Good To Yourself Chicken Salsa 400g", 17.62, 3
PRD, 5263, "Sainsbury's Taste the Difference Pork in a Somerset Cider  Brandy ", 15.29, 1
PRD, 10414, "Sterling Superkings Cigarettes Smooth x 20", 15.15, 9
PRD, 12210, "Sainsbury's Organic Korma Cooking Sauce 450g", 23.44, 4
PRD, 76053, "product upgrade 9317129040338    Flexitol Heel Balm 56g", 21.65, 8
PRD, 7669, "Sainsbury's 16 Compact Applicator Tampons Regular", 5.35, 4
PRD, 1255, "Pringles® Regular Hot & Spicy 200g", 17.30, 4
PRD, 4359, "Libresse Bodyform Ultra Invisible Super towels", 8.83, 9
PRD, 4567, "Sainsbury's 6 Ultra Wipes Kitchen Towels", 16.77, 3
PRD, 5832, "Famous Names Chocolates 195g", 3.08, 7
PRD, 2894, "Tesco Simply Sauvignon 2002 75cl", 19.41, 1
PRD, 26959, "5449000127259 Diet Coke with Cherry 6x330ml", 1.45, 7
PRD, 1613, "Caribbean Cuisine Hard Dough Bread 800g", 17.62, 9
PRD, 11865, "Tesco 2 Fresh Cream Chocolate Eclairs", 17.47, 2
PRD, 11675, "Sainsbury's So Organic Brown Basmati Rice Fairtrade 500g", 15.83, 2
PRD, 12161, "L'Oreal Paris Hydra Energetic Tanning Moisturiser 50ml", 13.43, 3
PRD, 8867, "Flash Lemon All Purpose 1 litre", 22.07, 6
PRD, 7835, "Duc d'O Luxury Milk Chocolate Egg and Belgian Chocolate Seashells 285g", 9.35, 9
PRD, 12796, "Los Robles Fairtrade Carmenere 2005 75cl", 14.44, 1
PRD, 22069, "5000158064973 Lemsip Max Strength Sinus Capsules x 16", 6.04, 9
PRD, 48862, "00048910  Red Dessert Apple Loose", 21.56, 9
PRD, 9850, "Pure & Soft 100 Cotton Wool Pads", 20.31, 9
PRD, 46429, "Mitre Xenia Size 5 Football", 23.55, 8
PRD, 12474, "Tesco Finest Mediterranean Style Loaf 400g", 9.88, 4
PRD, 1860, "Sainsbury's Vegetable Fusilli Bake 400g", 10.01, 4
PRD, 78717, "Product upgrade 0079181310055  FINGRS GIRLIE NAILS 31005 EACH", 15.69, 4
PRD, 13328, "Unknown - Tesco OL Image Only", 3.75, 8
PRD, 33748, "Eyelure Brow Kit", 1.48, 8
PRD, 7814, "Joubere Five Minute Stroganoff Sauce 300g", 25.80, 5
PRD, 9988, "LeapPad™ Learning System", 4.13, 3
PRD, 11982, "Winnie the Pooh 8 Shaped Party Bags", 16.87, 5
PRD, 8928, "Tesco General Car Wipes", 9.66, 7
PRD, 8629, "Ariel Liquitabs Non-Bio 10 + 2", 23.43, 7
PRD, 2222, "Winalot Meaty Crunch Chicken Flavour 350g", 24.62, 9
PRD, 12567, "Grolsch Premium Lager 12 x 440ml Cans", 2.04, 5
PRD, 27916, "Stawberry Gateaux", 19.65, 2
PRD, 4344, "BECKS ALCOHOL FREE 275ML 6PK", 18.07, 4
PRD, 3356, "Sainsbury's Wastebasket Liners 30 Bags", 20.47, 1
PRD, 2392, "Wall's Magnum Revenge 110ml", 14.08, 9
PRD, 46031, "Tesco Christmas Cornish Brie EAN TBC", 15.00, 5
PRD, 7235, "Tesco Olive Spread 1kg", 5.64, 3
PRD, 20785, "", 19.99, 9
PRD, 72439, "product fee x 7", 3.89, 4
PRD, 2836, "Rio Azul Chardonnay 2001 75cl", 3.54, 6
PRD, 8901, "Sainsbury's Fair Trade Tea 250g", 18.95, 7
PRD, 12651, "Niederegger Marzipan Bar 75g", 15.25, 8
PRD, 3285, "W. C. Rowe Saffron Buns 4 Pack", 21.82, 3
PRD, 9948, "Amoy® Stir Fry Sensations Sweet Soy & Spring Onion 160g", 16.16, 2
PRD, 10692, "Tesco Balance Puppies & Junior Dogs with Chicken 1kg", 13.34, 8
PRD, 47843, "Image manipulation for 3 images @ £10 each", 2.50, 6
PRD, 61227, "5391517591194 Club Milk Caramel Wafer 192g 2 Free", 6.82, 8
PRD, 47363, "5016346212928 Soft Caramel Basket", 20.26, 2
PRD, 3779, "Yeo Valley Organic Natural Bio Live Yogurt 1kg", 7.34, 3
PRD, 9229, "Sainsbury's Butter Chicken 500g", 8.42, 3
PRD, 3457, "Rachel's Organic Low Fat Bio-Live Blackcurrant Yogurt 540g", 15.75, 4
PRD, 73599, "5010896015502 Ormo 6 for the Price of 4 Potato Farls", 16.67, 4
PRD, 10685, "Sainsbury's 6 Wholemeal Pitta", 3.85, 1
PRD, 2974, "Tesco Ashbrook Mountain Spring Still Water 5 Litre", 21.62, 1
PRD, 28708, "Whitworths Stoned Dates 250g", 3.12, 8
PRD, 1503, "Sainsbury's Up-Lifting Room Mist Rosemary & Basil 300ml", 17.08, 2
PRD, 55522, "01124484 Sainsbury’s 2 Snack Meltons - Product purchase fee", 11.84, 4
PRD, 9814, "Sainsbury's Thin White Sliced 800g", 22.48, 1
PRD, 9449, "Tesco Carrot & Coriander Soup 400g", 14.25, 6
PRD, 12756, "Aquadrops 3 Pack", 18.03, 8
PRD, 5802, "Tesco Crozes Hermitage 2001 75cl", 19.95, 4
PRD, 9164, "Tesco Loose Green Peppers", 21.99, 3
PRD, 20133, "EPC More than a Marinade Cajun Spice 250g", 12.96, 1
PRD, 72447, "5010487122299 SANEX DERMO INVIS AERO 2X150ML", 8.92, 9
PRD, 32436, "10058084     Tesco to share... Guacamole 170g", 9.19, 2
PRD, 7132, "Braun Silk & Soft Body Shave LS 5500", 19.46, 1
PRD, 2785, "Belvoir Elderflower Cordial 37.5cl", 5.74, 5
PRD, 12073, "Tesco Value Minced Lamb 500g", 23.00, 6
PRD, 9980, "Sainsbury's Gooseberry Fool 113g", 6.06, 2
PRD, 42462, "0000050160716 The Simpsons SunLotion SPF30 75ml", 19.98, 5
PRD, 5044, "Tesco Shaped Breast Pads 40", 15.70, 3
PRD, 12784, "Sainsbury's Creme Fraiche 200ml", 2.55, 7
PRD, 49966, "MG MANUKA COMB HONEY 200G £75.00 6.67 £70.00 No", 6.46, 8
PRD, 2775, "Tesco Ultra Dry Unisex Maxi 34", 19.64, 1
PRD, 12606, "Peter's 3 Corned Beef Pasties", 1.27, 3
PRD, 9056, "Tesco 2 Toffee Cheesecake Wedges", 1.09, 3
PRD, 5633, "Clearblue Digital Ovulation Test 7 Tests", 15.25, 7
PRD, 3748, "St. Ivel Low Fat Gold 500g", 12.74, 9
PRD, 13423, "Sainsbury's Corn Oil 1 Litre", 20.96, 3
PRD, 8970, "Andrew Collinge Blonde Highlight Enhancing Shampoo For Honey to Carame", 10.23, 6
PRD, 9931, "Ariel Color & Style Liquitabs 20 x 50ml", 5.40, 2
PRD, 66169, "8901552005074  Ashoka Punjabi Choley 280g", 7.84, 7
PRD, 26959, "5449000011428 Sprite Lite 2 Litre Bottle", 23.39, 6
PRD, 71291, "5010038605486 Grolsch Premium Lager 15 x 275ml Bottles", 11.08, 9
PRD, 5471, "Schwartz Real Paste Sicilian 100g", 4.18, 5
PRD, 13192, "Tesco Whole Foods Carnaroli Risotto Rice 500g", 3.11, 2
PRD, 52958, "9770953633181  Essentials June 2009 Manipulation Fee", 21.19, 3
PRD, 8140, "Sainsbury's Medium Pot Basil", 10.26, 2
PRD, 10598, "Berio Special Selection Extra Virgin Olive Oil 750ml", 9.60, 8
PRD, 6421, "Sainsbury's Taste The Difference Date & Walnut Stuffing Mix 113g", 7.06, 1
PRD, 21151, "Tesco Pepperoni Pizza", 17.16, 1
PRD, 6512, "Tesco Tomato & Mushroom Pasta Spirals in a rich Sauce 120g", 2.69, 1
PRD, 10232, "Sainsbury's Organic Chicken Breast Fillets x2", 17.26, 6
